Id,title,picture,release,production,genre,status
1,フルハウス,,1987/9/22,アメリカ,コメディ,レンタル
2,24 -TWENTY FOUR-,,2001/11/6,アメリカ,アクション,レンタル
3,スーパーナチュラル,,2005/9/13,アメリカ,アクション,放送中
4,NCIS 〜ネイビー犯罪捜査班,,2003/1/1,アメリカ,サスペンス,放送中
5,ゴシップガール,,2007/9/19,アメリカ,ドキュメンタリー,レンタル
6,ブレイキング・バッド,,2008/1/20,アメリカ,ドキュメンタリー,レンタル
7,SHERLOCK（シャーロック）,,2010/7/25,アメリカ,サスペンス,レンタル予定
8,THE 100 ハンドレッド,,2014/3/19,アメリカ,SF,放送中
9,クリミナル・マインド/FBI vs. 異常犯罪,,2005/9/22,アメリカ,サスペンス,放送中
10,ビッグバン★セオリー ギークなボクらの恋愛法則,,2001/1/1,アメリカ,コメディ,レンタル予定
11,ブラック・ミラー,,2011/12/4,イギリス,SF,放送中
12,ストレンジャー・シングス 未知の世界,,2016/7/15,アメリカ,SF,レンタル予定
13,ウォーキング・デッド,,2010/10/31,アメリカ,ホラー,レンタル
14,ゲーム・オブ・スローンズ,,2011/4/17,アメリカ,アクション,レンタル予定
15,エージェント・オブ・シールド,,2013/9/24,アメリカ,アクション,放送中
16,GRIMM/グリム,,2011/10/28,アメリカ,ホラー,レンタル予定
17,プリズン・ブレイク,,2005/8/29,アメリカ,ドキュメンタリー,レンタル
18,SUITS/スーツ,,2011/6/23,アメリカ,ドキュメンタリー,放送中
19,12モンキーズ,,2015/1/16,アメリカ,SF,レンタル予定
20,死霊のはらわた リターンズ,,2015/10/31,アメリカ,ホラー,レンタル予定
21,THE BRIDGE/ブリッジ,,2011/9/1,アメリカ,サスペンス,レンタル
22,アグリー・ベティ,,2006/9/18,アメリカ,コメディ,レンタル
23,X-ファイル,,1993/9/10,アメリカ,SF,レンタル予定
24,ARROW/アロー,,2013/7/7,アメリカ,アクション,レンタル予定
25,HEROES,,2006/9/25,アメリカ,SF,レンタル
26,glee/グリー,,2009/5/19,アメリカ,コメディ,レンタル
27,BONES,,2005/9/13,アメリカ,サスペンス,レンタル予定
28,LUCIFER/ルシファー,,2016/1/1,アメリカ,サスペンス,放送中
29,ドクター・フー,,1963/11/23,イギリス,SF,放送中
