Id,title,picture,release,production,screening_time,genre,status
1,ゴーンガール,,2014/10/3,アメリカ,149,サスペンス,レンタル
2,セブン,,1995/9/22,アメリカ,127,サスペンス,レンタル
3,インセプション,,2010/7/16,イギリス,148,サスペンス,レンタル
4,悪の法則,,2013/10/25,イギリス,117,サスペンス,レンタル
5,羊たちの沈黙,,1991/2/14,アメリカ,118,サスペンス,レンタル
6,アメリカン・スナイパー,,2014/12/25,アメリカ,132,ドキュメンタリー,レンタル
7,ウルフ・オブ・ウォールストリート,,2013/12/25,アメリカ,179,ドキュメンタリー,レンタル
8,イミテーション・ゲーム/エニグマと天才数学者の秘密,,2014/11/28,アメリカ,114,ドキュメンタリー,レンタル
9,ソーシャル・ネットワーク,,2010/9/14,アメリカ,120,ドキュメンタリー,レンタル
10,最強のふたり,,2011/11/2,フランス,122,ドキュメンタリー,レンタル
11,ダークナイト,,2008/7/18,イギリス,152,アクション,レンタル
12,エクスペンダブルズ,,2010/8/13,アメリカ,103,アクション,レンタル
13,ワイルド・スピード,,2001/6/22,アメリカ,106,アクション,レンタル
14,アベンジャーズ,,2012/5/4,アメリカ,143,アクション,レンタル
15,トランスポーター,,2002/10/11,フランス,93,アクション,レンタル
16,ダイハード,,1988/7/15,アメリカ,131,アクション,レンタル
17,ミッション：インポッシブル,,1996/5/22,アメリカ,110,アクション,レンタル
18,インターステラー,,2014/11/7,イギリス,169,SF,レンタル
19,ショーシャンクの空に,,1994/9/10,アメリカ,143,SF,レンタル
20,ハリー・ポッターと賢者の石,,2001/11/16,イギリス,152,SF,レンタル
21,スター・ウォーズ　エピソード4 新たなる希望,,1977/5/25,アメリカ,121,SF,レンタル
22,オデッセイ,,2015/10/2,アメリカ,141,SF,レンタル
23,バック・トゥ・ザ・フューチャー,,1985/7/3,アメリカ,116,SF,レンタル
24,ハングオーバー！ 消えた花ムコと史上最悪の二酔い,,2009/6/5,アメリカ,100,コメディ,レンタル
25,イエスマン “YES”は人生のパスワード,,2008/12/19,アメリカ,104,コメディ,レンタル
26,テッド,,2012/6/29,アメリカ,106,コメディ,レンタル
27,ショーン・オブ・ザ・デッド,,2004/4/9,イギリス,99,コメディ,レンタル
28,ホーム・アローン,,1990/11/16,アメリカ,103,コメディ,レンタル
29,ホット・ファズ -俺たちスーパーポリスメン!-,,2007/2/14,フランス,121,コメディ,レンタル
30,パラノーマル・アクティビティ,,2009/9/25,アメリカ,86,ホラー,レンタル
31,"IT／イット""それ""が見えたら、終わり。",,2017/9/8,アメリカ,135,ホラー,レンタル
32,エスター,,2009/7/24,アメリカ,123,ホラー,レンタル
33,シックス・センス,,1999/8/6,アメリカ,107,ホラー,レンタル
34,REC/レック,,2007/11/23,スペイン,85,ホラー,レンタル
35,永遠に僕のもの,,2018/8/9,スペイン,118,サスペンス,レンタル予定
36,ゲティ家の身代金,,2018/5/25,イギリス,133,サスペンス,レンタル予定
37,アンセイン／狂気の真実,,2018/3/23,アメリカ,98,サスペンス,レンタル予定
38,ボヘミアン・ラプソディ,,2018/11/2,イギリス,134,ドキュメンタリー,レンタル予定
39,グレイテスト・ショーマン,,2018/2/16,アメリカ,105,ドキュメンタリー,レンタル予定
40,アリー／スター誕生,,2018/10/5,アメリカ,135,ドキュメンタリー,レンタル予定
41,ヴェノム,,2018/10/5,アメリカ,112,アクション,レンタル予定
42,ジュマンジ/ウェルカム・トゥ・ジャングル,,2018/4/6,アメリカ,119,アクション,レンタル予定
43,オーシャンズ8,,2018/6/8,アメリカ,110,アクション,レンタル予定
44,ファンタスティック・ビーストと黒い魔法使いの誕生,,2018/11/16,イギリス,134,SF,レンタル予定
45,レディ・プレイヤー１,,2018/3/29,アメリカ,140,SF,レンタル予定
46,ランペイジ 巨獣大乱闘,,2018/4/13,アメリカ,107,SF,レンタル予定
47,ピーターラビット,,2018/2/9,アメリカ,95,コメディ,レンタル予定
48,パディントン2,,2018/1/19,アメリカ,103,コメディ,レンタル予定
49,デッドプール2,,2018/5/18,アメリカ,120,コメディ,レンタル予定
50,A GHOST STORY ア・ゴースト・ストーリー,,2018/11/17,アメリカ,92,ホラー,レンタル予定
51,クワイエット・プレイス,,2018/4/6,アメリカ,90,ホラー,レンタル予定
52,ハロウィン,,2018/10/19,アメリカ,105,ホラー,レンタル予定
53,ミスター・ガラス,,2019/1/18,アメリカ,129,サスペンス,公開中
54,ドクター・スリープ,,2019/11/8,アメリカ,152,サスペンス,公開中
55,チャイルド・プレイ,,2019/6/21,アメリカ,90,サスペンス,公開中
56,フリーソロ,,2019/9/6,アメリカ,100,ドキュメンタリー,公開中
57,娘は戦場で生まれた,,2019/3/11,シリア,100,ドキュメンタリー,公開中
58,スケアリーストーリーズ 怖い本,,2019/8/9,カナダ,108,ドキュメンタリー,公開中
59,スパイダーマン:ファー・フロム・ホーム,,2019/6/28,アメリカ,129,アクション,公開中
60,ワイルド・スピード/スーパーコンボ,,2019/8/2,アメリカ,135,アクション,公開中
61,ジョン・ウィック:パラベラム,,2019/5/17,アメリカ,131,アクション,公開中
62,アリータ: バトル・エンジェル,,2019/2/14,アメリカ,122,SF,公開中
63,アド・アストラ,,2019/9/20,アメリカ,123,SF,公開中
64,ゴジラ キング・オブ・モンスターズ,,2019/5/31,アメリカ,132,SF,公開中
65,シャザム! ,,2019/4/5,アメリカ,132,コメディ,公開中
66,ゾンビランド:ダブルタップ,,2019/10/18,アメリカ,99,コメディ,公開中
67,ワンス・アポン・ア・タイム・イン・ハリウッド,,2019/7/26,イギリス,161,コメディ,公開中
68,アナベル 死霊博物館,,2019/6/28,アメリカ,106,ホラー,公開中
69,アス,,2019/3/22,アメリカ,116,ホラー,公開中
70,ハッピー・デス・デイ 2U,,2019/2/13,アメリカ,100,ホラー,公開中
