Id,name,country,hometown
1,ギリアン・フリン,不明,不明
2,アンドリュー・ケヴィン・ウォーカー,不明,不明
3,クリストファー・ノーラン,不明,不明
4,コーマック・マッカーシー,不明,不明
5,テッド・タリー,不明,不明
6,ジェイソン・ホール,不明,不明
7,テレンス・ウィンター,不明,不明
8,グレアム・ムーア,不明,不明
9,アーロン・ソーキン,不明,不明
10,オリヴィエ・ナカシュ,不明,不明
11,デヴィッド・キャラハム,不明,不明
12,ゲイリー・スコット・トンプソン,不明,不明
13,ジョス・ウェドン,不明,不明
14,リュック・ベッソン,不明,不明
15,スティーヴン・E・デ・スーザ,不明,不明
16,デヴィッド・コープ,不明,不明
17,フランク・ダラボン,不明,不明
18,スティーブ・クローブス,不明,不明
19,ジョージ・ルーカス,不明,不明
20,ドリュー・ゴダード,不明,不明
21,ロバート・ゼメキス,不明,不明
22,ジョン・ルーカス,不明,不明
23,ニコラス・ストーラー,不明,不明
24,セス・マクファーレン,不明,不明
25,エドガー・ライト,不明,不明
26,ジョン・ヒューズ,不明,不明
27,オーレン・ペリ,不明,不明
28,チェイス・パーマー,不明,不明
29,デヴィッド・レスリー・ジョンソン,不明,不明
30,M・ナイト・シャマラン,不明,不明
31,ジャウマ・バラゲロ,不明,不明
32,ルイス・オルテガ,不明,不明
33,デヴィッド・スカルパ,不明,不明
34,ジョセフ・マロック,不明,不明
35,アンソニー・マクカーテン,不明,不明
36,ジェニー・ビックス,不明,不明
37,エリック・ロス,不明,不明
38,スコット・ローゼンバーグ,不明,不明
39,クリス・マッケンナ,不明,不明
40,ゲイリー・ロス,不明,不明
41,J・K・ローリング,不明,不明
42,アーネスト・クライン,不明,不明
43,ライアン・イングル,不明,不明
44,ロブ・ライバー,不明,不明
45,ポール・キング,不明,不明
46,レット・リース,不明,不明
47,デヴィッド・ロウリー,不明,不明
48,ブライアン・ウッズ,不明,不明
49,デヴィッド・ゴードン・グリーン,不明,不明
50,マイク・フラナガン,不明,不明
51,タイラー・バートン・スミス,不明,不明
52,エリザベス・チャイ・ヴァサルヘリィ,不明,不明
53,ワアド・アル＝カデブ,不明,不明
54,ダン・ヘイグマン,不明,不明
55,クリス・マッケナ,不明,不明
56,クリス・モーガン,不明,不明
57,デレク・コルスタット,不明,不明
58,ジェームズ・キャメロン,不明,不明
59,ジェームズ・グレイ,不明,不明
60,マックス・ボレンスタイン,不明,不明
61,ヘンリー・ゲイデン,不明,不明
62,クエンティン・タランティーノ,不明,不明
63,ゲイリー・ドーベルマン,不明,不明
64,ジョーダン・ピール,不明,不明
65,クリストファー・B・ランドン,不明,不明
